-0.36787944 -0.44485807 -0.52729242 -0.61262639 -0.69767633 -0.77880078 -0.85214379 -0.91393119 -0.96078944 -0.99004983 -1.00000000 -0.99004983 -0.96078944 -0.91393119 -0.85214379 -0.77880078 -0.69767633 -0.61262639 -0.52729242 -0.44485807 -0.36787944
-0.44485807 -0.53789850 -0.63760945 -0.74087390 -0.84382611 -0.94204896 -1.03086592 -1.10569938 -1.16245712 -1.19790151 -1.20995497 -1.19790151 -1.16245712 -1.10569938 -1.03086592 -0.94204896 -0.84382611 -0.74087390 -0.63760945 -0.53789850 -0.44485807
-0.52729242 -0.63760945 -0.75585027 -0.87832348 -1.00044216 -1.11696326 -1.22233502 -1.31112261 -1.37846714 -1.42052415 -1.43482657 -1.42052415 -1.37846714 -1.31112261 -1.22233502 -1.11696326 -1.00044216 -0.87832348 -0.75585027 -0.63760945 -0.52729242
-0.61262639 -0.74087390 -0.87832348 -1.02069368 -1.16265580 -1.29811526 -1.42061705 -1.52384130 -1.60213744 -1.65103445 -1.66766307 -1.65103445 -1.60213744 -1.52384130 -1.42061705 -1.29811526 -1.16265580 -1.02069368 -0.87832348 -0.74087390 -0.61262639
-0.69767633 -0.84382611 -1.00044216 -1.16265580 -1.32440110 -1.47873687 -1.61830968 -1.73591913 -1.82512697 -1.88083870 -1.89978487 -1.88083870 -1.82512697 -1.73591913 -1.61830968 -1.47873687 -1.32440110 -1.16265580 -1.00044216 -0.84382611 -0.69767633
-0.77880078 -0.94204896 -1.11696326 -1.29811526 -1.47873687 -1.65108055 -1.80693702 -1.93826702 -2.03788177 -2.10009272 -2.12124911 -2.10009272 -2.03788177 -1.93826702 -1.80693702 -1.65108055 -1.47873687 -1.29811526 -1.11696326 -0.94204896 -0.77880078
-0.85214379 -1.03086592 -1.22233502 -1.42061705 -1.61830968 -1.80693702 -1.97751670 -2.12125164 -2.23027503 -2.29836161 -2.32151612 -2.29836161 -2.23027503 -2.12125164 -1.97751670 -1.80693702 -1.61830968 -1.42061705 -1.22233502 -1.03086592 -0.85214379
-0.91393119 -1.10569938 -1.31112261 -1.52384130 -1.73591913 -1.93826702 -2.12125164 -2.27543782 -2.39238779 -2.46542437 -2.49026222 -2.46542437 -2.39238779 -2.27543782 -2.12125164 -1.93826702 -1.73591913 -1.52384130 -1.31112261 -1.10569938 -0.91393119
-0.96078944 -1.16245712 -1.37846714 -1.60213744 -1.82512697 -2.03788177 -2.23027503 -2.39238779 -2.51534945 -2.59214017 -2.61825466 -2.59214017 -2.51534945 -2.39238779 -2.23027503 -2.03788177 -1.82512697 -1.60213744 -1.37846714 -1.16245712 -0.96078944
-0.99004983 -1.19790151 -1.42052415 -1.65103445 -1.88083870 -2.10009272 -2.29836161 -2.46542437 -2.59214017 -2.67127522 -2.69818694 -2.67127522 -2.59214017 -2.46542437 -2.29836161 -2.10009272 -1.88083870 -1.65103445 -1.42052415 -1.19790151 -0.99004983
-1.00000000 -1.20995497 -1.43482657 -1.66766307 -1.89978487 -2.12124911 -2.32151612 -2.49026222 -2.61825466 -2.69818694 -2.72536976 -2.69818694 -2.61825466 -2.49026222 -2.32151612 -2.12124911 -1.89978487 -1.66766307 -1.43482657 -1.20995497 -1.00000000
-0.99004983 -1.19790151 -1.42052415 -1.65103445 -1.88083870 -2.10009272 -2.29836161 -2.46542437 -2.59214017 -2.67127522 -2.69818694 -2.67127522 -2.59214017 -2.46542437 -2.29836161 -2.10009272 -1.88083870 -1.65103445 -1.42052415 -1.19790151 -0.99004983
-0.96078944 -1.16245712 -1.37846714 -1.60213744 -1.82512697 -2.03788177 -2.23027503 -2.39238779 -2.51534945 -2.59214017 -2.61825466 -2.59214017 -2.51534945 -2.39238779 -2.23027503 -2.03788177 -1.82512697 -1.60213744 -1.37846714 -1.16245712 -0.96078944
-0.91393119 -1.10569938 -1.31112261 -1.52384130 -1.73591913 -1.93826702 -2.12125164 -2.27543782 -2.39238779 -2.46542437 -2.49026222 -2.46542437 -2.39238779 -2.27543782 -2.12125164 -1.93826702 -1.73591913 -1.52384130 -1.31112261 -1.10569938 -0.91393119
-0.85214379 -1.03086592 -1.22233502 -1.42061705 -1.61830968 -1.80693702 -1.97751670 -2.12125164 -2.23027503 -2.29836161 -2.32151612 -2.29836161 -2.23027503 -2.12125164 -1.97751670 -1.80693702 -1.61830968 -1.42061705 -1.22233502 -1.03086592 -0.85214379
-0.77880078 -0.94204896 -1.11696326 -1.29811526 -1.47873687 -1.65108055 -1.80693702 -1.93826702 -2.03788177 -2.10009272 -2.12124911 -2.10009272 -2.03788177 -1.93826702 -1.80693702 -1.65108055 -1.47873687 -1.29811526 -1.11696326 -0.94204896 -0.77880078
-0.69767633 -0.84382611 -1.00044216 -1.16265580 -1.32440110 -1.47873687 -1.61830968 -1.73591913 -1.82512697 -1.88083870 -1.89978487 -1.88083870 -1.82512697 -1.73591913 -1.61830968 -1.47873687 -1.32440110 -1.16265580 -1.00044216 -0.84382611 -0.69767633
-0.61262639 -0.74087390 -0.87832348 -1.02069368 -1.16265580 -1.29811526 -1.42061705 -1.52384130 -1.60213744 -1.65103445 -1.66766307 -1.65103445 -1.60213744 -1.52384130 -1.42061705 -1.29811526 -1.16265580 -1.02069368 -0.87832348 -0.74087390 -0.61262639
